Metric,Single Layer,Dual Layer
MSE,4145.5859683892195,35699.11230938491
RMSE,64.38622498942782,188.94208718383766
MAE,46.6041479421594,152.11736543123402
R²,0.9342303116849427,0.43363386801872017
MSE vs Lagged,2979.2845154765737,34310.63199736218
RMSE vs Lagged,54.582822531237554,185.23129324539678
MAE vs Lagged,39.205976242127264,148.7283963873314
R² vs Lagged,0.9525698268950689,0.45377515758539055
Trend Accuracy vs Real,0.4967824967824968,0.5276705276705277
Trend Accuracy vs Lagged,0.7065637065637066,0.6138996138996139
Better Match - Real,0.38946015424164526,0.4241645244215938
Better Match - Lagged,0.6105398457583547,0.5758354755784062
